iter	Passed	Remaining
398	37303	149679
399	37371	149485
400	37462	149384
401	37538	149219
402	37617	149069
403	37676	148841
404	37733	148603
405	37782	148339
406	37838	148098
407	37894	147863
408	37952	147634
409	38016	147429
410	38071	147191
411	38128	146960
412	38234	146919
413	38304	146743
414	38368	146541
415	38422	146299
416	38481	146080
417	38544	145879
418	38601	145653
419	38665	145457
420	38724	145241
421	38784	145029
422	38836	144787
423	38892	144561
424	38952	144353
425	39013	144148
426	39072	143935
427	39132	143730
428	39209	143586
429	39268	143374
430	39321	143143
431	39390	142971
432	39451	142770
433	39512	142571
434	39578	142393
435	39633	142173
436	39682	141931
437	39743	141732
438	39803	141533
439	39859	141319
440	39913	141099
441	39981	140928
442	40048	140756
443	40097	140520
444	40163	140346
445	40214	140119
446	40280	139946
447	40349	139781
448	40416	139613
449	40486	139453
450	40556	139294
451	40617	139107
452	40685	138942
453	40750	138768
454	40813	138586
455	40879	138416
456	40943	138238
457	40998	138035
458	41057	137843
459	41115	137649
460	41168	137435
461	41223	137233
462	41274	137018
463	41337	136840
464	41390	136632
465	41432	136388
466	41482	136172
467	41533	135958
468	41585	135750
469	41636	135539
470	41703	135380
471	41754	135170
472	41803	134956
473	41852	134739
474	41902	134528
475	41962	134351
476	42006	134122
477	42052	133899
478	42102	133690
479	42160	133506
480	42223	133340
481	42277	133147
482	42344	132993
483	42400	132809
484	42456	132621
485	42507	132419
486	42555	132208
487	42600	131992
488	42653	131797
489	42710	131617
490	42762	131423
491	42807	131206
492	42857	131005
493	42908	130808
494	42957	130607
495	43007	130410
496	43056	130207
497	43109	130021
498	43159	129825
499	43209	129627
500	43256	129423
501	43304	129224
502	43358	129040
503	43411	128856
504	43467	128681
505	43521	128499
506	43583	128342
507	43629	128140
508	43677	127943
509	43727	127752
510	43786	127588
511	43841	127415
512	43901	127254
513	43963	127100
514	44010	126904
515	44069	126743
516	44126	126576
517	44191	126433
518	44271	126332
519	44349	126226
520	44427	126120
521	44483	125950
522	44539	125784
523	44616	125675
524	44669	125499
525	44725	125334
526	44776	125152
527	44827	124974
528	44880	124801
529	44932	124625
530	44990	124465
531	45043	124293
532	45095	124117
533	45145	123937
534	45189	123742
535	45235	123553
536	45283	123370
537	45342	123215
538	45391	123036
539	45437	122848
540	45488	122675
541	45534	122488
542	45591	122332
543	45642	122161
544	45694	121993
545	45745	121819
546	45792	121638
547	45838	121454
548	45886	121278
549	45934	121099
550	45982	120921
551	46025	120734
552	46075	120563
553	46120	120380
554	46167	120200
555	46217	120033
556	46272	119876
557	46325	119716
558	46382	119565
559	46433	119400
560	46488	119246
561	46534	119068
562	46588	118913
563	46639	118748
564	46692	118591
565	46747	118437
566	46802	118286
567	46848	118109
568	46897	117943
569	46959	117810
570	47021	117677
571	47079	117533
572	47133	117380
573	47187	117228
574	47230	117050
575	47288	116906
576	47343	116759
577	47406	116629
578	47462	116484
579	47518	116338
580	47581	116210
581	47639	116069
582	47719	115982
583	47778	115846
584	47850	115741
585	47922	115636
586	48001	115547
587	48055	115398
588	48116	115267
589	48175	115132
590	48227	114978
591	48297	114868
592	48363	114751
593	48426	114625
594	48481	114482
595	48529	114322
596	48589	114189
597	48670	114107
598	48748	114017
599	48808	113885
600	48868	113754
601	48926	113619
602	48996	113512
603	49053	113375
604	49150	113330
605	49215	113211
606	49352	113258
607	49452	113220
608	49497	113056
609	49551	112912
610	49600	112756
611	49671	112653
1
628	63744	88269
629	63834	88152
630	63910	88016
631	63977	87868
632	64072	87758
633	64169	87651
634	64258	87533
635	64499	87622
636	64660	87600
637	64835	87598
638	64966	87536
639	65118	87502
640	65227	87410
641	65344	87328
642	65460	87246
643	65570	87155
644	65661	87039
645	65751	86921
646	65834	86796
647	65931	86687
648	66018	86566
649	66089	86424
650	66159	86282
651	66229	86139
652	66308	86007
653	66389	85880
654	66472	85754
655	66539	85609
656	66620	85481
657	66697	85348
658	66785	85230
659	66865	85100
660	66956	84986
661	67033	84855
662	67099	84709
663	67164	84562
664	67236	84425
665	67300	84277
666	67368	84135
667	67430	83985
668	67515	83864
669	67599	83742
670	67694	83634
671	67796	83534
672	67878	83410
673	67959	83285
674	68060	83185
675	68150	83070
676	68238	82954
677	68326	82837
678	68394	82698
679	68458	82552
680	68521	82406
681	68584	82260
682	68649	82118
683	68723	81985
684	68791	81847
685	68930	81792
686	69012	81669
687	69084	81535
688	69151	81395
689	69221	81260
690	69288	81121
691	69361	80988
692	69430	80851
693	69498	80713
694	69554	80563
695	69626	80430
696	69697	80296
697	69765	80160
698	69835	80025
699	69921	79910
700	69989	79774
701	70064	79646
702	70133	79511
703	70204	79379
704	70281	79253
705	70342	79110
706	70403	78967
707	70475	78837
708	70539	78697
709	70604	78560
710	70682	78437
711	70755	78308
712	70819	78169
713	70883	78031
714	70949	77895
715	71026	77772
716	71105	77650
717	71186	77531
718	71267	77412
719	71341	77286
720	71416	77161
721	71490	77034
722	71565	76911
723	71641	76787
724	71702	76647
725	71769	76514
726	71835	76381
727	71900	76246
728	71959	76105
729	72032	75979
730	72090	75837
731	72145	75693
732	72202	75551
733	72261	75412
734	72320	75272
735	72379	75132
736	72436	74991
737	72494	74852
738	72541	74701
739	72599	74561
740	72660	74425
741	72714	74282
742	72770	74141
743	72833	74008
744	72904	73883
745	72966	73749
746	73024	73611
747	73090	73481
748	73154	73349
749	73210	73210
750	73265	73070
751	73324	72934
752	73389	72805
753	73450	72670
754	73503	72530
755	73559	72391
756	73614	72253
757	73671	72116
758	73726	71977
759	73787	71845
760	73845	71710
761	73901	71573
762	73955	71435
763	74014	71301
764	74073	71168
765	74135	71038
766	74197	70908
767	74272	70790
768	74327	70654
769	74387	70523
770	74453	70397
771	74517	70270
772	74585	70146
773	74655	70025
774	74712	69892
775	74786	69775
776	74856	69654
777	74946	69551
778	75033	69447
779	75118	69340
780	75196	69226
781	75280	69119
782	75342	68991
783	75406	68866
784	75469	68739
785	75529	68610
786	75589	68481
787	75653	68357
788	75722	68236
789	75780	68106
790	75839	67977
791	75897	67847
792	75953	67716
793	76020	67595
794	76077	67465
795	76137	67337
796	76193	67206
797	76252	67079
798	76312	66952
799	76372	66825
800	76429	66697
801	76483	66565
802	76535	66432
803	76590	66302
804	76645	66172
805	76699	66041
806	76758	65915
807	76811	65784
808	76870	65658
809	76931	65534
810	76992	65410
811	77056	65289
812	77119	65167
813	77179	65042
814	77237	64917
815	77295	64792
816	77357	64669
817	77420	64548
818	77478	64423
819	77534	64297
820	77603	64181
821	77672	64065
822	77737	63946
823	77800	63826
824	77860	63703
