iter	Logloss
0	0.6872941743
1	0.6792631085
2	0.6719557192
3	0.6676743328
4	0.6631700231
5	0.6584926688
6	0.6552782166
7	0.6505642566
8	0.6475157714
9	0.6442646001
10	0.6401884213
11	0.6361321224
12	0.6341389034
13	0.6320859878
14	0.6297371972
15	0.623898267
16	0.6189646187
17	0.616992822
18	0.6143774325
19	0.6099615384
20	0.6061966166
21	0.6036625532
22	0.6000021124
23	0.5966839778
24	0.5964062984
25	0.5936163254
26	0.5909926149
27	0.5897750315
28	0.5857901363
29	0.5821423864
30	0.5756467063
31	0.5728321338
32	0.5708589296
33	0.5666815141
34	0.564942212
35	0.5623974164
36	0.5590640324
37	0.556149199
38	0.5550705611
39	0.5540500356
40	0.5537533053
41	0.5515687573
42	0.5488037148
43	0.5458052747
44	0.5425234655
45	0.5419880861
46	0.5408677982
47	0.5390129124
48	0.5380244246
49	0.5366300971
50	0.5363201492
51	0.5337188537
52	0.5318750182
53	0.5293500482
54	0.5265852133
55	0.5248272001
56	0.5196826689
57	0.5159035332
58	0.5148723913
59	0.5118885855
60	0.5097242896
61	0.5097091946
62	0.5079361442
63	0.5055736759
64	0.5041153846
65	0.5023946321
66	0.5006479729
67	0.499818999
68	0.4982136955
69	0.4959728494
70	0.4923183665
71	0.4898356699
72	0.4859942692
73	0.4855660459
74	0.4840120601
75	0.4801435242
76	0.4781157184
77	0.4761324816
78	0.4756402099
79	0.4737622291
80	0.4716228631
81	0.4677276436
82	0.4652901982
83	0.4630345625
84	0.4610516636
85	0.4580054577
86	0.4554145605
87	0.4540563049
88	0.4515488929
89	0.4505333993
90	0.4489757797
91	0.4486083841
92	0.4459690694
93	0.4449285052
94	0.4425098061
95	0.4415707068
96	0.4397803043
97	0.4383187388
98	0.4377352534
99	0.4360937162
100	0.4347652918
101	0.4312420367
102	0.429920821
103	0.4278036817
104	0.4258968901
105	0.4247030536
106	0.4228907139
107	0.4210071115
108	0.4199368141
109	0.41769682
110	0.4176343078
111	0.4174179073
112	0.4156533423
113	0.4133051116
114	0.4116992481
115	0.4102204431
116	0.4076393279
117	0.4069446196
118	0.4066114522
119	0.4064944118
120	0.4046225189
121	0.4032581713
122	0.4032581691
123	0.4026604788
124	0.4020028703
125	0.4013653309
126	0.4001583681
127	0.3997881568
128	0.3975310822
129	0.3952962838
130	0.3939474775
131	0.3933354413
132	0.3917212795
133	0.3895426877
134	0.3887155386
135	0.387395173
136	0.3851730171
137	0.3840015196
138	0.3834048278
139	0.3826209655
140	0.3815295026
141	0.3803086487
